sep=;



Timestamp;Logging:Logging.WindSpeed;Logging:Logging.YawLeft;Logging:Logging.YawRight;Logging:Logging.Move;Logging:Logging.YawBrakeReleased;Logging:Logging.HydPumpRunning;Logging:Logging.MotorBrakeReleased;Logging:Logging.YawBrakeRelease;Logging:Logging.MotorBrakesRelease;Logging:Logging.StatusID;Logging:Logging.AxisData[0].ErrorNumber;Logging:Logging.AxisData[0].ErrorNumberCoupling;Logging:Logging.AxisData[0].ErrorNumberTension;Logging:Logging.AxisData[0].ActualTorque;Logging:Logging.AxisData[0].ActualAxisCurrent;Logging:Logging.AxisData[0].ActualAxisVelocity;Logging:Logging.AxisData[0].ContTotalPowerServo;Logging:Logging.AxisData[0].OutputPowerServo;Logging:Logging.AxisData[0].UDCBusAct;Logging:Logging.AxisData[1].ErrorNumber;Logging:Logging.AxisData[1].ErrorNumberCoupling;Logging:Logging.AxisData[1].ErrorNumberTension;Logging:Logging.AxisData[1].ActualTorque;Logging:Logging.AxisData[1].ActualAxisCurrent;Logging:Logging.AxisData[1].ActualAxisVelocity;Logging:Logging.AxisData[1].ContTotalPowerServo;Logging:Logging.AxisData[1].OutputPowerServo;Logging:Logging.AxisData[1].UDCBusAct;Logging:Logging.AxisData[2].ErrorNumber;Logging:Logging.AxisData[2].ErrorNumberCoupling;Logging:Logging.AxisData[2].ErrorNumberTension;Logging:Logging.AxisData[2].ActualTorque;Logging:Logging.AxisData[2].ActualAxisCurrent;Logging:Logging.AxisData[2].ActualAxisVelocity;Logging:Logging.AxisData[2].ContTotalPowerServo;Logging:Logging.AxisData[2].OutputPowerServo;Logging:Logging.AxisData[2].UDCBusAct;Logging:Logging.AxisData[3].ErrorNumber;Logging:Logging.AxisData[3].ErrorNumberCoupling;Logging:Logging.AxisData[3].ErrorNumberTension;Logging:Logging.AxisData[3].ActualTorque;Logging:Logging.AxisData[3].ActualAxisCurrent;Logging:Logging.AxisData[3].ActualAxisVelocity;Logging:Logging.AxisData[3].ContTotalPowerServo;Logging:Logging.AxisData[3].OutputPowerServo;Logging:Logging.AxisData[3].UDCBusAct;Logging:Logging.AxisData[4].ErrorNumber;Logging:Logging.AxisData[4].ErrorNumberCoupling;Logging:Logging.AxisData[4].ErrorNumberTension;Logging:Logging.AxisData[4].ActualTorque;Logging:Logging.AxisData[4].ActualAxisCurrent;Logging:Logging.AxisData[4].ActualAxisVelocity;Logging:Logging.AxisData[4].ContTotalPowerServo;Logging:Logging.AxisData[4].OutputPowerServo;Logging:Logging.AxisData[4].UDCBusAct;
2019 12 10 15:11:55:423;4;1;0;1;1;0;1;1;1;0;0;0;0;13,9;4,4;15,6;16,1;1682,4;512,5;0;0;0;-4,1;-1,3;15,6;5,2;-447,3;508,3;0;0;0;11,8;3,5;15,4;14,5;1496,4;507,5;0;0;0;13,2;3,9;15,7;15,6;1649,9;508,6;0;0;0;-3,6;-1,2;15,6;4;-398,8;510,7;
2019 12 10 15:11:55:443;4;1;0;1;1;0;1;1;1;0;0;0;0;13,8;4,2;15,7;16,1;1748,9;512,6;0;0;0;-3,8;-1,1;15,3;5,2;-402,6;509,2;0;0;0;11,1;3,3;15,7;14,5;1399,5;508,4;0;0;0;13,2;3,8;15,6;15,6;1608;509,1;0;0;0;-4;-1,3;15,6;4;-420,3;511,6;
2019 12 10 15:11:55:463;4;1;0;1;1;0;1;1;1;0;0;0;0;13,7;3,9;15,5;16,1;1767,9;513,2;0;0;0;-6,7;-1,2;15,6;5,2;-777,7;509,3;0;0;0;11,4;3,5;15,6;14,5;1443,3;508,1;0;0;0;12,8;3,9;15,6;15,6;1535,1;508,5;0;0;0;-4;-1,2;15,7;4;-451,2;511,8;
2019 12 10 15:11:55:483;4;1;0;1;1;0;1;1;1;0;0;0;0;14,6;3,8;15,6;16,1;1800,9;512,3;0;0;0;-4,3;-1,2;15,8;5,2;-557,9;509,2;0;0;0;10,9;3,2;15,6;14,5;1356,2;508,1;0;0;0;13;4;15,6;15,6;1530,4;508,3;0;0;0;-4;-1,2;15,6;4;-439;511,4;
2019 12 10 15:11:55:503;4;1;0;1;1;0;1;1;1;0;0;0;0;13,8;4,1;15,9;16,1;1664;513;0;0;0;-4,6;-1,6;15,4;5,2;-523;507,2;0;0;0;10,9;3;15,5;14,5;1341,2;507,9;0;0;0;13,2;3,9;15,6;15,6;1553,3;508,4;0;0;0;-4,3;-1,2;15,7;4;-474,7;512,3;
2019 12 10 15:11:55:523;4;1;0;1;1;0;1;1;1;0;0;0;0;12,8;3,9;15,8;16,1;1582,6;512,3;0;0;0;-6,1;-1,8;15,6;5,2;-685;507,7;0;0;0;11,8;3,5;15,5;14,5;1391,9;507,6;0;0;0;13,1;3,7;15,5;15,7;1597,2;508,8;0;0;0;-4,1;-1,2;15,5;4;-462,5;511,9;
2019 12 10 15:11:55:543;4;1;0;1;1;0;1;1;1;0;0;0;0;13,5;4;15,6;16,1;1655,6;511,1;0;0;0;-4;-1;15,6;5,2;-501;508,7;0;0;0;10,7;3;15,6;14,5;1353,5;507,9;0;0;0;13,5;3,8;15,6;15,7;1639,9;508,9;0;0;0;-4;-1;15,6;4;-450,1;511,8;
2019 12 10 15:11:55:563;4;1;0;1;1;0;1;1;1;0;0;0;0;13,8;4,2;15,7;16,1;1663,8;511,4;0;0;0;-4,4;-1,8;15,9;5,2;-438;506,9;0;0;0;11;3,3;15,8;14,5;1412;508,4;0;0;0;13,1;3,8;15,8;15,7;1603,7;509;0;0;0;-4,1;-1,1;15,7;4;-501,4;510,3;
2019 12 10 15:11:55:583;4;1;0;1;1;0;1;1;1;0;0;0;0;13,5;4,1;15,8;16,1;1631,3;511,5;0;0;0;-3,8;-1,6;15,9;5,2;-421,4;507,5;0;0;0;11,9;3,4;15,7;14,5;1500,3;508,8;0;0;0;13;3,8;15,9;15,7;1626;508,8;0;0;0;-3,8;-1,1;15,6;4;-391,5;510,5;
2019 12 10 15:11:55:603;4;1;0;1;1;0;1;1;1;0;0;0;0;14;4,2;15,5;16,1;1738,9;511,8;0;0;0;-4,7;-0,8;15,4;5,2;-612;507;0;0;0;10,7;3,1;15,8;14,5;1375,9;508,4;0;0;0;13,1;3,9;15,7;15,7;1599,1;509;0;0;0;-3,6;-1,3;15,6;4;-349,1;510,5;
2019 12 10 15:11:55:623;4;1;0;1;1;0;1;1;1;0;0;0;0;14,4;3,9;15,6;16,1;1821,2;511,1;0;0;0;-6,2;-1,5;15,9;5,2;-682,5;508,8;0;0;0;11;3,3;15,6;14,5;1443,5;508,7;0;0;0;12,9;3,7;15,7;15,7;1598,5;508,8;0;0;0;-3,8;-1,1;15,6;4;-442,4;510,5;
2019 12 10 15:11:55:643;4;1;0;1;1;0;1;1;1;0;0;0;0;14,4;4;15,6;16,1;1631;510,2;0;0;0;-4,7;-1,2;15,4;5,2;-571,3;509,3;0;0;0;11,3;3,3;15,3;14,5;1412,9;509;0;0;0;12,6;3,8;15,7;15,7;1538,1;508,8;0;0;0;-3,9;-1,3;15,7;4;-421,8;510,7;
2019 12 10 15:11:55:663;4;1;0;1;1;0;1;1;1;0;0;0;0;13,8;4,1;15,8;16,1;1711,9;511,6;0;0;0;-4,6;-1,6;15,3;5,2;-533,5;509,1;0;0;0;10;3,2;15,8;14,5;1273,4;509,3;0;0;0;12,7;3,9;15,7;15,7;1572,4;508,6;0;0;0;-4,6;-1,2;15,7;4;-541,6;510;
2019 12 10 15:11:55:683;4;1;0;1;1;0;1;1;1;0;0;0;0;13;3,9;16;16,1;1639,6;512,5;0;0;0;-6,5;-1,6;15,7;5,2;-740,7;509,6;0;0;0;11,1;3,2;15,4;14,5;1362,7;509,1;0;0;0;12,8;3,8;15,4;15,7;1453,1;507,2;0;0;0;-4;-1;15,7;4;-453,8;512,6;
2019 12 10 15:11:55:703;4;1;0;1;1;0;1;1;1;0;0;0;0;13,6;4,1;16,1;16,1;1730,6;511,7;0;0;0;-4,1;-1,2;15,6;5,2;-530,5;508,3;0;0;0;10,7;3,1;15,5;14,5;1360,1;508,2;0;0;0;13;3,8;15,9;15,7;1598,6;507,7;0;0;0;-4,2;-1,1;15,8;4;-450,2;511,5;
2019 12 10 15:11:55:723;4;1;0;1;1;0;1;1;1;0;0;0;0;13,2;4,1;15,8;16,1;1615,5;510,5;0;0;0;-3,8;-1,9;16;5,2;-395,6;508,9;0;0;0;10,6;3,1;15,8;14,5;1328,9;507;0;0;0;13,5;3,7;15,6;15,7;1619,1;507,4;0;0;0;-4,1;-1,1;15,6;4;-479;511,9;
2019 12 10 15:11:55:743;4;1;0;1;1;0;1;1;1;0;0;0;0;13;4,2;15,8;16,1;1587,2;511,5;0;0;0;-5,2;-1,5;15,6;5,2;-600,2;509,1;0;0;0;11;3,3;15,9;14,5;1443,7;507,6;0;0;0;13,1;3,8;15,9;15,7;1593,4;507,3;0;0;0;-3,5;-1,1;15,9;4,1;-383;512,2;
2019 12 10 15:11:55:763;4;1;0;1;1;0;1;1;1;0;0;0;0;13,6;3,9;15,7;16,1;1663,5;512,3;0;0;0;-4,2;-1,1;15,6;5,2;-519,9;509,3;0;0;0;10,9;3,1;15,9;14,5;1468,1;508;0;0;0;13,5;3,8;15,8;15,7;1668,2;508,2;0;0;0;-4,2;-1,1;15,5;4,1;-504,5;512;
2019 12 10 15:11:55:783;4;1;0;1;1;0;1;1;1;0;0;0;0;14,5;4,2;15,6;16,1;1744,8;513,5;0;0;0;-6,5;-1,7;15,9;5,2;-692;508,8;0;0;0;11,3;3,3;15,8;14,5;1398,4;507,6;0;0;0;12,9;3,9;15,7;15,7;1590,7;507,9;0;0;0;-3,5;-1,3;15,5;4,1;-376,1;512,8;
2019 12 10 15:11:55:803;4;1;0;1;1;0;1;1;1;0;0;0;0;14,8;4;15,7;16,1;1800,2;513,5;0;0;0;-4,4;-1,3;15,6;5,2;-509,4;507;0;0;0;10,8;3,2;15,6;14,5;1429,3;507,9;0;0;0;13,2;3,9;15,8;15,7;1632,3;507,8;0;0;0;-4,2;-1,2;15,6;4,1;-464,6;512,4;
2019 12 10 15:11:55:823;4;1;0;1;1;0;1;1;1;0;0;0;0;13,5;3,9;15,7;16,1;1714,8;513,3;0;0;0;-4,9;-1,2;15,5;5,2;-520,1;507,9;0;0;0;10,3;3,2;15,7;14,5;1304,8;507,5;0;0;0;12,9;3,8;15,6;15,7;1600,7;508,2;0;0;0;-4;-1,3;15,6;4,1;-445,8;512,6;
